全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考,フリーWi-Fi,更衣室,シャワー室,飲食物を購入できる場所,トレーニング室,陸上競技,水泳,サッカー,スキー,テニス,ボート,ホッケー,ボクシング,バレーボール,体操,バスケットボール,スケート,レスリング,セーリング,ウエイトリフティング,ハンドボール,自転車競技,ソフトテニス,卓球,軟式野球,相撲,馬術,フェンシング,柔道,ソフトボール,バドミントン,弓道,ライフル射撃,剣道,近代五種,ラグビーフットボール,山岳・スポーツクライミング,カヌー,アーチェリー,空手道,アイスホッケー,銃剣道,クレー射撃,なぎなた,ボウリング,ボブスレー・リュージュ・スケルトン,野球,綱引,少林寺拳法,ゲートボール,武術太極拳,ゴルフ,カーリング,パワーリフティング,オリエンテーリング,グラウンド・ゴルフ,トライアスロン,バウンドテニス,エアロビック,バイアスロン,スポーツチャンバラ,ドッジボール,チアリーディング,ペタンク・ブール,ダンススポーツ,拳法競技,25mコース,50mコース,子ども用プール,その他のプール,プールの特記事項,採暖室,脱水機,サウナ,ジャグジー,売店,食堂,フィンスイミングの可否,陸上競技用貸出備品,水泳用貸出備品,サッカー用貸出備品,スキー用貸出備品,テニス用貸出備品,ボート用貸出備品,ホッケー用貸出備品,ボクシング用貸出備品,バレーボール用貸出備品,体操用貸出備品,バスケットボール用貸出備品,スケート用貸出備品,レスリング用貸出備品,セーリング用貸出備品,ウエイトリフティング用貸出備品,ハンドボール用貸出備品,自転車競技用貸出備品,ソフトテニス用貸出備品,卓球用貸出備品,軟式野球用貸出備品,相撲用貸出備品,馬術用貸出備品,フェンシング用貸出備品,柔道用貸出備品,ソフトボール用貸出備品,バドミントン用貸出備品,弓道用貸出備品,ライフル射撃用貸出備品,剣道用貸出備品,近代五種用貸出備品,ラグビーフットボール用貸出備品,山岳・スポーツクライミング用貸出備品,カヌー用貸出備品,アーチェリー用貸出備品,空手道用貸出備品,アイスホッケー用貸出備品,銃剣道用貸出備品,クレー射撃用貸出備品,なぎなた用貸出備品,ボウリング用貸出備品,ボブスレー・リュージュ・スケルトン用貸出備品,野球用貸出備品,綱引用貸出備品,少林寺拳法用貸出備品,ゲートボール用貸出備品,武術太極拳用貸出備品,ゴルフ用貸出備品,カーリング用貸出備品,パワーリフティング用貸出備品,オリエンテーリング用貸出備品,グラウンド・ゴルフ用貸出備品,トライアスロン用貸出備品,バウンドテニス用貸出備品,エアロビック用貸出備品,バイアスロン用貸出備品,スポーツチャンバラ用貸出備品,ドッジボール用貸出備品,チアリーディング用貸出備品,ペタンク・ブール用貸出備品,ダンススポーツ用貸出備品,拳法競技用貸出備品
133086,,東京都奥多摩町,奥多摩総合運動公園,オクタマソウゴウウンドウコウエン,,登計原山村広場運動公園,1103,,,133086,,東京都西多摩郡奥多摩町氷川940,東京都,西多摩郡奥多摩町,氷川,940,,35.802912,139.09401,,,,,,,,1980212,8000020133086,奥多摩町,日月火水木金土,08:00,21:30,冬季利用不可。登録団体に限る。事前予約が必要。,軟式野球場,可,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,https://www.town.okutama.tokyo.jp/1/kyoikuka/bunka_sports/1/1/1067.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,否,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
133086,,東京都奥多摩町,奥多摩スポーツコミュニティ会館,オクタマスポーツコミュニティカイカン,,,1111,,,133086,,東京都西多摩郡奥多摩町氷川147-1,東京都,西多摩郡奥多摩町,氷川,147-1,,35.8085395,139.099063,,,,,,,,1980212,8000020133086,奥多摩町,日月火水木金土,08:00,21:30,年末年始利用不可。登録団体に限る。事前予約が必要。,柔道場,否,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,https://www.town.okutama.tokyo.jp/1/kyoikuka/bunka_sports/1/1/645.html,,,,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,否,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
133086,,東京都奥多摩町,日原スポーツコミュニティ施設,ニッパラスポーツコミュニティシセツ,,,1110,,,133086,,東京都西多摩郡奥多摩町日原814-イ,東京都,西多摩郡奥多摩町,日原,814-イ,,35.842043,139.042542,,,,,,,,1980211,8000020133086,奥多摩町,日月火水木金土,08:00,21:30,年末年始利用不可。登録団体に限る。事前予約が必要。,体育館（旧小学校の体育館）,否,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,https://www.town.okutama.tokyo.jp/1/kyoikuka/bunka_sports/1/1/647.html,,,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,否,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
133086,,東京都奥多摩町,川井スポーツコミュニティ施設,カワイスポーツコミュニティシセツ,,,1110,,,133086,,東京都西多摩郡奥多摩町川井594,東京都,西多摩郡奥多摩町,川井,594,,35.811241,139.158425,,,,,,,,1980102,8000020133086,奥多摩町,日月火水木金土,08:00,21:30,年末年始利用不可。登録団体に限る。事前予約が必要。,体育館・グラウンド・テニスコート（旧中学校の体育館・校庭・テニスコート）,否,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,https://www.town.okutama.tokyo.jp/1/kyoikuka/bunka_sports/1/1/1048.html,,,,無,無,無,無,無,無,無,有,無,有,無,無,無,有,無,有,無,無,無,無,無,無,有,有,有,無,無,無,無,有,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,否,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
