"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_通称","名称_英語","文化財分類","種類","場所名称","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","電話番号","内線番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","員数（数）","員数（単位）","法人番号","所有者等","文化財指定日","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","画像","画像_ライセンス","概要","概要_英語","説明","説明_英語","URL","備考"
"132152","132152100023","国立市","南養寺鐘楼","ナンヨウジショウロウ","","","国立市指定有形文化財","建造物","南養寺","132152","","東京都国立市谷保6218","東京都","国立市","谷保","6218","","35.680331","139.432344","","","","","","","","1860011","","","2012405000365","宗教法人南養寺","1982-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/1463551230156.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100024","国立市","南養寺庭園","ナンヨウジテイエン","","","国立市指定史跡","史跡","非公開","132152","","東京都国立市非公開","東京都","国立市","","非公開","","","","","","","","","","","","","","2012405000365","宗教法人南養寺","1982-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0070/1463551209456.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100025","国立市","南養寺遺跡敷石住居跡","ナンヨウジイセキシキイシジュウキョアト","","","国立市指定史跡","史跡","非公開","132152","","東京都国立市非公開","東京都","国立市","","非公開","","","","","","","","","","","","","","2012405000365","宗教法人南養寺","1985-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0070/1463551209456.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100026","国立市","古民家（旧柳澤家住宅）","コミンカ（キュウヤナギサワケジュウタク）","","","国立市指定有形文化財","民俗","国立市古民家","132152","","東京都国立市泉5-21-20","東京都","国立市","泉5丁目","21-20","","35.678393","139.436653","","","","","","","","1860012","","","1000020132152","国立市","1991-10-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0070/1464591726786.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100027","国立市","顔面把手付土器","ガンメントッテツキドキ","","","国立市指定有形文化財","考古資料","くにたち郷土文化館","132152","","東京都国立市谷保6231","東京都","国立市","谷保","6231","","35.679006","139.432637","","","","","","","","1860011","","","1000020132152","国立市","1999-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0070/1463551207885.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100028","国立市","紡錘車","ボウスイシャ","","","国立市指定有形文化財","考古資料","くにたち郷土文化館","132152","","東京都国立市谷保6231","東京都","国立市","谷保","6231","","35.679006","139.432637","","","","","","","","1860011","","","1000020132152","国立市","2001-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0070/1463551207885.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100029","国立市","人体文土器","ジンタイモンドキ","","","国立市指定有形文化財","考古資料","くにたち郷土文化館","132152","","東京都国立市谷保6231","東京都","国立市","谷保","6231","","35.679006","139.432637","","","","","","","","1860011","","","1000020132152","国立市","2005-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0070/1463551207885.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100030","国立市","下谷保一号墳","シモヤボイチゴウフン","","","国立市指定史跡","史跡","下谷保古墳群","132152","","東京都国立市谷保4-18-8他","東京都","国立市","谷保4丁目","18-8他","","35.67738","139.44829","","","","","","","","1860011","","","1000020132152","国立市","2006-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0070/1463551209456.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100031","国立市","旧国立駅舎","キュウクニタチエキシャ","","","国立市指定有形文化財","建造物","旧国立駅舎","132152","","東京都国立市東1-1","東京都","国立市","東1丁目","1","","35.69907","139.448427","","","","","","","","1860002","","","1000020132152","国立市","2006-10-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/1463551230156.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100032","国立市","四軒在家遺跡古墳出土副葬品","シケンザケイセキコフンシュツドフクソウヒン","","","国立市指定有形文化財","考古資料","くにたち郷土文化館","132152","","東京都国立市谷保6231","東京都","国立市","谷保","6231","","35.679006","139.432637","","","","","","","","1860011","","","1000020132152","国立市","2009-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0070/1463551207885.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100033","国立市","関鋳物師跡出土品","セキイモジアトシュツドヒン","","","国立市指定有形文化財","考古資料","くにたち郷土文化館","132152","","東京都国立市谷保6231","東京都","国立市","谷保","6231","","35.679006","139.432637","","","","","","","","1860011","","","1000020132152","国立市","2012-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0070/1463551207885.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100034","国立市","下谷保9号墳出土遺物","シモヤボキュウゴウフンシュツドイブツ","","","国立市指定有形文化財","考古資料","くにたち郷土文化館","132152","","東京都国立市谷保6231","東京都","国立市","谷保","6231","","35.679006","139.432637","","","","","","","","1860011","","","1000020132152","国立市","2015-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0070/1463551207885.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100035","国立市","青柳稲荷神社本殿","アオヤギイナリジンジャホンデン","","","国立市登録有形文化財","建造物","青柳稲荷神社","132152","","東京都国立市青柳2-8-32","東京都","国立市","青柳2丁目","8-32","","35.681473","139.423068","","","","","","","","1860013","","","","青柳稲荷神社講中","2002-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1569811668248.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100036","国立市","滝乃川学園礼拝堂","タキノガワガクエンレイハイドウ","","","国立市登録有形文化財","建造物","滝乃川学園","132152","","東京都国立市矢川3-16-1","東京都","国立市","矢川3丁目","16-1","","35.680338","139.430033","","","","","","","","1860015","","","1012405000085","社会福祉法人滝乃川学園","2003-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1569811668248.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100037","国立市","谷保天満宮末社厳島神社附棟札","ヤボテンマングウマッシャイツクシマジンジャツケタリムナフダ","","","国立市登録有形文化財","建造物","谷保天満宮","132152","","東京都国立市谷保5209","東京都","国立市","谷保","5209","","35.680601","139.443404","","","","","","","","1860011","","","5012405000412","宗教法人谷保天満宮","2005-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1569811668248.html","公開状況については、国立市ホームページをご確認ください。"
